Step,Entropy,Max Depth, Assembly, Omega, Order
380,1.4932133643654213,3,16,138,18
381,1.4932133643654213,3,16,138,18
382,1.4969275461145894,3,15,129,17
383,1.5306390622295665,3,14,122,16
384,1.532914563979398,3,13,113,15
385,1.532914563979398,3,13,113,15
386,1.532914563979398,3,13,113,15
387,1.532914563979398,3,13,113,15
388,1.532914563979398,3,13,113,15
389,1.4969275461145894,3,15,129,17
390,1.4913146570363986,3,14,120,16
391,1.4969275461145894,3,14,130,17
392,1.4969275461145894,3,14,130,17
393,1.4969275461145894,3,14,130,17
394,1.4652556501132248,3,16,146,19
395,1.4932133643654213,3,15,139,18
396,1.2309595631140104,2,13,110,15
397,1.4969275461145894,3,15,130,17
398,1.2475562489182659,2,14,119,16
399,1.272905595320056,2,13,112,15
400,1.253297578463043,2,15,128,17
401,1.2363864108712894,2,17,144,19
402,1.2516291673878228,2,16,137,18
403,1.2516291673878228,2,16,137,18
404,1.2639334294856335,2,15,130,17
405,1.2448406699719212,2,17,146,19
406,1.2516291673878228,2,16,137,18
407,1.2448406699719212,2,16,148,19
408,1.2448406699719212,2,16,148,19
409,1.2285763800288914,2,18,164,21
410,1.2285763800288914,2,18,164,21
411,1.2344977967946407,2,17,155,20
412,1.2448406699719212,2,16,148,19
413,1.2516291673878228,2,15,139,18
414,1.2516291673878228,2,15,139,18
415,1.253297578463043,2,14,130,17
416,1.253297578463043,2,14,130,17
417,1.2363864108712894,2,16,146,19
418,1.2363864108712894,2,16,146,19
419,1.2326602568158207,2,15,137,18
420,1.2326602568158207,2,15,137,18
421,1.2192407046368487,2,17,153,20
422,1.2072100267448116,2,19,169,22
423,1.2009102795095283,2,18,160,21
424,1.2009102795095283,2,18,160,21
425,1.2192407046368487,2,17,153,20
426,1.2108100261060328,2,16,144,19
427,1.2326602568158207,2,15,137,18
428,1.2326602568158207,2,15,137,18
429,1.2326602568158207,2,15,137,18
430,1.2210477851797181,2,14,128,17
431,1.2210477851797181,2,14,128,17
432,1.2108100261060328,2,16,144,19
433,1.2108100261060328,2,16,144,19
434,1.2326602568158207,2,15,137,18
435,1.2192407046368487,2,17,153,20
436,1.2108100261060328,2,16,144,19
437,1.6444492199495464,4,18,168,21
438,1.6783898247235196,4,17,161,20
439,1.7120954362128464,4,16,154,19
440,1.7448425317532439,4,15,147,18
441,1.775523493673489,4,14,140,17
442,1.2958363892911637,2,12,105,14
443,1.2958363892911637,2,12,105,14
444,1.3143204867061788,2,11,98,13
445,1.3250112108241772,2,10,89,12
446,1.3485878960124222,2,9,82,11
447,1.360964047443681,2,8,73,10
448,1.3921472236645345,2,7,66,9
449,1.4056390622295665,2,7,56,8
450,2.0464393446710156,4,9,82,10
451,1.9508257945180885,4,11,98,12
452,1.971747257128181,4,10,89,11
453,1.971747257128181,4,10,89,11
454,1.8919954870390203,4,12,105,13
455,1.896240625180289,4,11,96,12
456,1.6171895725927152,3,10,81,11
457,1.573402452417767,3,12,97,13
458,1.573402452417767,3,12,97,13
459,1.573402452417767,3,12,97,13
460,1.573402452417767,3,12,97,13
461,1.6258145836939115,3,11,90,12
462,1.5744174271404583,3,13,106,14
463,1.5744174271404583,3,13,106,14
464,1.5306390622295665,3,15,122,16
465,1.5628066316931741,3,14,115,15
466,1.6143308351592656,3,12,99,13
467,1.6143308351592656,3,12,99,13
468,1.3250112108241772,2,11,88,12
469,1.2958363892911637,2,13,104,14
470,1.2957378005380122,2,12,95,13
471,1.2957378005380122,2,12,95,13
472,1.272905595320056,2,14,111,15
473,1.2958363892911637,2,13,104,14
474,1.272905595320056,2,14,111,15
475,1.2958363892911637,2,13,104,14
476,1.2957378005380122,2,12,95,13
477,1.3250112108241772,2,11,88,12
478,1.3221793455166666,2,10,79,11
479,1.2957378005380122,2,12,95,13
480,1.5628066316931741,3,14,115,15
481,1.6143308351592656,3,12,99,13
482,1.3250112108241772,2,11,88,12
483,1.3221793455166666,2,10,79,11
484,1.295461844238322,2,9,70,10
485,1.295461844238322,2,9,70,10
486,1.280672129520887,2,11,86,12
487,1.280672129520887,2,11,86,12
488,1.5744174271404583,3,13,106,14
489,1.2957378005380122,2,12,95,13
490,1.272905595320056,2,14,111,15
491,1.2638091738835462,2,13,102,14
492,1.2957378005380122,2,12,95,13
493,1.272905595320056,2,14,111,15
494,1.272905595320056,2,14,111,15
495,1.2638091738835462,2,13,102,14
496,1.2957378005380122,2,12,95,13
497,1.2957378005380122,2,12,95,13
498,1.272905595320056,2,14,111,15
499,1.2958363892911637,2,13,104,14
500,1.272905595320056,2,14,111,15
501,1.2638091738835462,2,13,102,14
502,1.2957378005380122,2,12,95,13
503,1.272905595320056,2,14,111,15
504,1.2958363892911637,2,13,104,14
505,1.3250112108241772,2,11,88,12
506,1.2958363892911637,2,13,104,14
507,1.2957378005380122,2,12,95,13
508,1.3250112108241772,2,11,88,12
509,1.8702538164316223,4,13,114,14
510,1.9508257945180885,4,11,98,12
511,2.0464393446710156,4,9,82,10
512,2.058813890331201,4,8,73,9
513,2.058813890331201,4,8,73,9
514,2.1556390622295662,4,7,66,8
515,2.1556390622295662,4,7,66,8
516,2.1556390622295662,4,7,66,8
517,2.0464393446710156,4,9,82,10
518,2.1556390622295662,4,7,66,8
519,2.1556390622295662,4,7,66,8
520,2.1709505944546685,4,8,87,10
521,2.1280852788913944,4,6,58,7
522,2.058813890331201,4,8,73,9
523,2.1556390622295662,4,7,66,8
524,2.0464393446710156,4,9,82,10
525,2.0464393446710156,4,9,82,10
526,2.1556390622295662,4,7,66,8
527,1.8423709931771084,3,6,51,7
528,1.8910611120726528,3,7,72,9
529,1.811278124459133,3,6,60,8
530,1.7219280948873623,3,8,76,10
531,1.7527152789797045,3,7,67,9
532,1.6767370300521325,3,9,83,11
533,1.6258145836939115,3,10,90,12
